,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Year,Month,Days,Week,City,Total Revenue
591,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 15:37:00,"12 9th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,379.989990234375
604,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 13:43:00,"291 Johnson St, Seattle, WA 98101",2019,7,19,29,Seattle,11.949999809265137
619,Flatscreen TV,1.0,300.0,2019-07-19 18:16:00,"275 4th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,300.0
637,Wired Headphones,1.0,11.989999771118164,2019-07-19 20:12:00,"121 12th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.989999771118164
698,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 10:19:00,"466 Cedar St, Austin, TX 73301",2019,7,19,29,Austin,389.989990234375
726,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 20:59:00,"426 14th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,389.989990234375
796,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 10:11:00,"258 Hill St, Austin, TX 73301",2019,7,19,29,Austin,149.99000549316406
847,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 19:56:00,"234 South St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
926,USB-C Charging Cable,2.0,11.949999809265137,2019-07-19 22:29:00,"148 2nd St, New York City, NY 10001",2019,7,19,29,New York City,23.899999618530273
1005,Wired Headphones,1.0,11.989999771118164,2019-07-19 19:40:00,"932 South St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.989999771118164
1081,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 19:57:00,"30 Elm St, New York City, NY 10001",2019,7,19,29,New York City,3.839999914169312
1102,Wired Headphones,1.0,11.989999771118164,2019-07-19 10:32:00,"154 Dogwood St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.989999771118164
1137,USB-C Charging Cable,2.0,11.949999809265137,2019-07-19 13:41:00,"317 Sunset St, San Francisco, CA 94016",2019,7,19,29,San Francisco,23.899999618530273
1185,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 11:35:00,"459 Walnut St, Austin, TX 73301",2019,7,19,29,Austin,3.839999914169312
1191,Apple Airpods Headphones,1.0,150.0,2019-07-19 19:10:00,"593 Sunset St, San Francisco, CA 94016",2019,7,19,29,San Francisco,150.0
1203,20in Monitor,1.0,109.98999786376952,2019-07-19 09:13:00,"847 Lake St, New York City, NY 10001",2019,7,19,29,New York City,109.98999786376952
1284,AA Batteries (4-pack),2.0,3.839999914169312,2019-07-19 00:07:00,"121 Hickory St, Dallas, TX 75001",2019,7,19,29,Dallas,7.679999828338624
1292,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 13:41:00,"169 Cherry St, Portland, OR 97035",2019,7,19,29,Portland,99.98999786376952
1293,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 20:35:00,"946 6th St, Atlanta, GA 30301",2019,7,19,29,Atlanta,11.949999809265137
1371,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 00:23:00,"612 Madison St, Atlanta, GA 30301",2019,7,19,29,Atlanta,3.839999914169312
1442,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 00:02:00,"325 River St, Atlanta, GA 30301",2019,7,19,29,Atlanta,11.949999809265137
1456,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 20:18:00,"244 Church St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,379.989990234375
1500,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 20:16:00,"200 12th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,389.989990234375
1532,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 14:08:00,"184 Meadow St, Boston, MA 02215",2019,7,19,29,Boston,14.949999809265137
1617,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 15:20:00,"420 Lake St, Boston, MA 02215",2019,7,19,29,Boston,2.990000009536743
1639,Google Phone,1.0,600.0,2019-07-19 20:35:00,"986 Adams St, New York City, NY 10001",2019,7,19,29,New York City,600.0
1640,Wired Headphones,1.0,11.989999771118164,2019-07-19 20:35:00,"986 Adams St, New York City, NY 10001",2019,7,19,29,New York City,11.989999771118164
1662,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 23:22:00,"80 9th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,2.990000009536743
1734,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 10:52:00,"140 Dogwood St, San Francisco, CA 94016",2019,7,19,29,San Francisco,379.989990234375
1794,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 11:42:00,"854 Adams St, New York City, NY 10001",2019,7,19,29,New York City,389.989990234375
1800,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 12:36:00,"897 Pine St, New York City, NY 10001",2019,7,19,29,New York City,389.989990234375
1887,Wired Headphones,1.0,11.989999771118164,2019-07-19 13:24:00,"714 Jackson St, New York City, NY 10001",2019,7,19,29,New York City,11.989999771118164
1949,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 23:45:00,"831 Dogwood St, Boston, MA 02215",2019,7,19,29,Boston,149.99000549316406
1996,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 18:38:00,"788 Lincoln St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,14.949999809265137
2091,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 21:33:00,"548 Church St, New York City, NY 10001",2019,7,19,29,New York City,379.989990234375
2092,ThinkPad Laptop,1.0,999.989990234375,2019-07-19 23:50:00,"398 Main St, Portland, OR 97035",2019,7,19,29,Portland,999.989990234375
2119,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 18:45:00,"748 Maple St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,3.839999914169312
2122,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 21:43:00,"374 5th St, Portland, OR 97035",2019,7,19,29,Portland,14.949999809265137
2150,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 21:05:00,"278 Jefferson St, New York City, NY 10001",2019,7,19,29,New York City,99.98999786376952
2168,Flatscreen TV,1.0,300.0,2019-07-19 13:38:00,"862 5th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,300.0
2224,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 16:07:00,"735 Chestnut St, San Francisco, CA 94016",2019,7,19,29,San Francisco,99.98999786376952
2229,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 19:14:00,"277 Hill St, San Francisco, CA 94016",2019,7,19,29,San Francisco,2.990000009536743
2241,20in Monitor,1.0,109.98999786376952,2019-07-19 09:37:00,"946 Ridge St, Dallas, TX 75001",2019,7,19,29,Dallas,109.98999786376952
2338,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 18:34:00,"339 Meadow St, Seattle, WA 98101",2019,7,19,29,Seattle,3.839999914169312
2341,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 17:48:00,"490 River St, Boston, MA 02215",2019,7,19,29,Boston,11.949999809265137
2368,Apple Airpods Headphones,1.0,150.0,2019-07-19 19:02:00,"678 11th St, Seattle, WA 98101",2019,7,19,29,Seattle,150.0
2371,Wired Headphones,1.0,11.989999771118164,2019-07-19 15:30:00,"248 North St, New York City, NY 10001",2019,7,19,29,New York City,11.989999771118164
2412,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 12:50:00,"754 Main St, San Francisco, CA 94016",2019,7,19,29,San Francisco,14.949999809265137
2423,Wired Headphones,1.0,11.989999771118164,2019-07-19 11:40:00,"422 Lake St, Seattle, WA 98101",2019,7,19,29,Seattle,11.989999771118164
2426,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 15:00:00,"945 Ridge St, Atlanta, GA 30301",2019,7,19,29,Atlanta,2.990000009536743
2477,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 20:50:00,"588 Lakeview St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
2540,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 23:07:00,"927 6th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.949999809265137
2556,Wired Headphones,1.0,11.989999771118164,2019-07-19 15:48:00,"188 Chestnut St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.989999771118164
2562,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 12:55:00,"468 Pine St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.949999809265137
2649,LG Dryer,1.0,600.0,2019-07-19 15:13:00,"290 Spruce St, Atlanta, GA 30301",2019,7,19,29,Atlanta,600.0
2650,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 09:11:00,"416 Maple St, San Francisco, CA 94016",2019,7,19,29,San Francisco,14.949999809265137
2741,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 22:13:00,"461 12th St, Atlanta, GA 30301",2019,7,19,29,Atlanta,389.989990234375
2762,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 21:45:00,"627 Forest St, Boston, MA 02215",2019,7,19,29,Boston,14.949999809265137
2771,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 14:49:00,"480 Willow St, New York City, NY 10001",2019,7,19,29,New York City,99.98999786376952
2772,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 20:47:00,"165 South St, Boston, MA 02215",2019,7,19,29,Boston,2.990000009536743
2776,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 10:11:00,"213 13th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,14.949999809265137
2831,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 09:57:00,"456 Cherry St, Austin, TX 73301",2019,7,19,29,Austin,379.989990234375
2937,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 19:30:00,"503 Elm St, Seattle, WA 98101",2019,7,19,29,Seattle,99.98999786376952
3028,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 23:46:00,"466 Lincoln St, Seattle, WA 98101",2019,7,19,29,Seattle,99.98999786376952
3032,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 10:29:00,"554 Forest St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,14.949999809265137
3066,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 21:17:00,"140 South St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,99.98999786376952
3158,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 13:35:00,"688 Walnut St, New York City, NY 10001",2019,7,19,29,New York City,99.98999786376952
3191,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 21:01:00,"252 Chestnut St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,149.99000549316406
3206,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 10:42:00,"887 Hill St, San Francisco, CA 94016",2019,7,19,29,San Francisco,149.99000549316406
3217,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 03:51:00,"142 Jackson St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
3311,Wired Headphones,1.0,11.989999771118164,2019-07-19 04:24:00,"456 Madison St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.989999771118164
3320,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 23:41:00,"491 Pine St, Atlanta, GA 30301",2019,7,19,29,Atlanta,99.98999786376952
3347,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 17:28:00,"294 Madison St, Boston, MA 02215",2019,7,19,29,Boston,11.949999809265137
3361,Apple Airpods Headphones,1.0,150.0,2019-07-19 13:07:00,"908 Lincoln St, Seattle, WA 98101",2019,7,19,29,Seattle,150.0
3400,Flatscreen TV,1.0,300.0,2019-07-19 10:53:00,"346 Spruce St, New York City, NY 10001",2019,7,19,29,New York City,300.0
3438,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 18:22:00,"618 North St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
3461,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 13:32:00,"577 8th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
3514,Google Phone,1.0,600.0,2019-07-19 10:43:00,"947 Dogwood St, Seattle, WA 98101",2019,7,19,29,Seattle,600.0
3552,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 17:17:00,"809 Spruce St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
3571,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 19:46:00,"695 Adams St, Seattle, WA 98101",2019,7,19,29,Seattle,99.98999786376952
3592,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 17:14:00,"75 Jackson St, Portland, OR 97035",2019,7,19,29,Portland,14.949999809265137
3597,20in Monitor,1.0,109.98999786376952,2019-07-19 18:30:00,"61 Main St, New York City, NY 10001",2019,7,19,29,New York City,109.98999786376952
3662,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 18:25:00,"315 Johnson St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,149.99000549316406
3747,Wired Headphones,1.0,11.989999771118164,2019-07-19 10:53:00,"596 Lincoln St, Dallas, TX 75001",2019,7,19,29,Dallas,11.989999771118164
3780,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 16:10:00,"742 Maple St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
3815,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 11:35:00,"726 Cherry St, Atlanta, GA 30301",2019,7,19,29,Atlanta,99.98999786376952
3821,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 21:37:00,"223 River St, Boston, MA 02215",2019,7,19,29,Boston,11.949999809265137
3824,LG Dryer,1.0,600.0,2019-07-19 13:44:00,"493 Jefferson St, San Francisco, CA 94016",2019,7,19,29,San Francisco,600.0
3831,AA Batteries (4-pack),3.0,2.990000009536743,2019-07-19 21:35:00,"954 10th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,8.97000002861023
3834,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 01:56:00,"337 Main St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
3837,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 18:35:00,"931 Park St, New York City, NY 10001",2019,7,19,29,New York City,14.949999809265137
3879,iPhone,1.0,700.0,2019-07-19 19:59:00,"257 Willow St, Boston, MA 02215",2019,7,19,29,Boston,700.0
3992,ThinkPad Laptop,1.0,999.989990234375,2019-07-19 20:07:00,"6 West St, San Francisco, CA 94016",2019,7,19,29,San Francisco,999.989990234375
3993,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 20:07:00,"6 West St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
4071,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 04:17:00,"388 Sunset St, Boston, MA 02215",2019,7,19,29,Boston,14.949999809265137
4097,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 17:47:00,"867 10th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,379.989990234375
4147,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 08:51:00,"934 Wilson St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,99.98999786376952
4162,Macbook Pro Laptop,1.0,1700.0,2019-07-19 16:34:00,"606 South St, San Francisco, CA 94016",2019,7,19,29,San Francisco,1700.0
4180,AA Batteries (4-pack),2.0,2.990000009536743,2019-07-19 12:15:00,"379 Cedar St, San Francisco, CA 94016",2019,7,19,29,San Francisco,5.980000019073486
4183,Flatscreen TV,1.0,300.0,2019-07-19 21:39:00,"965 Madison St, Boston, MA 02215",2019,7,19,29,Boston,300.0
4200,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 10:32:00,"920 Church St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
4259,Google Phone,1.0,600.0,2019-07-19 04:00:00,"696 Chestnut St, Boston, MA 02215",2019,7,19,29,Boston,600.0
4274,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 09:56:00,"265 Cedar St, Austin, TX 73301",2019,7,19,29,Austin,2.990000009536743
4347,Apple Airpods Headphones,1.0,150.0,2019-07-19 22:20:00,"725 Forest St, Atlanta, GA 30301",2019,7,19,29,Atlanta,150.0
4365,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 21:41:00,"180 Hickory St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
4382,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 22:40:00,"715 5th St, San Francisco, CA 94016",2019,7,19,29,San Francisco,149.99000549316406
4452,AA Batteries (4-pack),2.0,3.839999914169312,2019-07-19 09:08:00,"939 Washington St, Atlanta, GA 30301",2019,7,19,29,Atlanta,7.679999828338624
4551,34in Ultrawide Monitor,1.0,379.989990234375,2019-07-19 19:34:00,"22 Adams St, San Francisco, CA 94016",2019,7,19,29,San Francisco,379.989990234375
4575,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 21:39:00,"642 Hickory St, San Francisco, CA 94016",2019,7,19,29,San Francisco,2.990000009536743
4579,Google Phone,1.0,600.0,2019-07-19 15:18:00,"933 5th St, Portland, OR 97035",2019,7,19,29,Portland,600.0
4580,Wired Headphones,1.0,11.989999771118164,2019-07-19 15:18:00,"933 5th St, Portland, OR 97035",2019,7,19,29,Portland,11.989999771118164
4606,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 19:21:00,"162 Adams St, Atlanta, GA 30301",2019,7,19,29,Atlanta,389.989990234375
4745,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 09:39:00,"336 Madison St, San Francisco, CA 94016",2019,7,19,29,San Francisco,14.949999809265137
4835,AA Batteries (4-pack),2.0,2.990000009536743,2019-07-19 11:22:00,"16 Lakeview St, Atlanta, GA 30301",2019,7,19,29,Atlanta,5.980000019073486
4837,Macbook Pro Laptop,1.0,1700.0,2019-07-19 16:58:00,"369 9th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,1700.0
4979,Wired Headphones,1.0,11.989999771118164,2019-07-19 10:40:00,"987 River St, Seattle, WA 98101",2019,7,19,29,Seattle,11.989999771118164
4991,Flatscreen TV,1.0,300.0,2019-07-19 13:20:00,"43 South St, San Francisco, CA 94016",2019,7,19,29,San Francisco,300.0
5044,Google Phone,1.0,600.0,2019-07-19 09:23:00,"51 North St, San Francisco, CA 94016",2019,7,19,29,San Francisco,600.0
5048,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 09:20:00,"602 Church St, Dallas, TX 75001",2019,7,19,29,Dallas,99.98999786376952
5088,iPhone,1.0,700.0,2019-07-19 17:35:00,"669 13th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,700.0
5089,Apple Airpods Headphones,1.0,150.0,2019-07-19 17:35:00,"669 13th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,150.0
5090,Wired Headphones,2.0,11.989999771118164,2019-07-19 16:18:00,"31 West St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,23.979999542236328
5095,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 12:30:00,"434 Elm St, Atlanta, GA 30301",2019,7,19,29,Atlanta,2.990000009536743
5116,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 07:47:00,"429 Madison St, San Francisco, CA 94016",2019,7,19,29,San Francisco,99.98999786376952
5145,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 13:40:00,"5 Cedar St, Dallas, TX 75001",2019,7,19,29,Dallas,2.990000009536743
5151,Wired Headphones,1.0,11.989999771118164,2019-07-19 15:51:00,"612 13th St, Seattle, WA 98101",2019,7,19,29,Seattle,11.989999771118164
5176,Apple Airpods Headphones,1.0,150.0,2019-07-19 13:52:00,"362 6th St, New York City, NY 10001",2019,7,19,29,New York City,150.0
5229,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 17:34:00,"810 Center St, San Francisco, CA 94016",2019,7,19,29,San Francisco,14.949999809265137
5254,Wired Headphones,1.0,11.989999771118164,2019-07-19 19:54:00,"595 Cherry St, Boston, MA 02215",2019,7,19,29,Boston,11.989999771118164
5274,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 19:17:00,"541 12th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,3.839999914169312
5298,Flatscreen TV,1.0,300.0,2019-07-19 19:32:00,"831 13th St, Boston, MA 02215",2019,7,19,29,Boston,300.0
5306,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 01:39:00,"661 River St, Boston, MA 02215",2019,7,19,29,Boston,3.839999914169312
5374,20in Monitor,1.0,109.98999786376952,2019-07-19 13:01:00,"339 Cedar St, Dallas, TX 75001",2019,7,19,29,Dallas,109.98999786376952
5390,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 10:32:00,"50 Center St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,3.839999914169312
5424,20in Monitor,1.0,109.98999786376952,2019-07-19 18:12:00,"185 9th St, Seattle, WA 98101",2019,7,19,29,Seattle,109.98999786376952
5517,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 22:00:00,"799 8th St, Dallas, TX 75001",2019,7,19,29,Dallas,2.990000009536743
5526,Wired Headphones,1.0,11.989999771118164,2019-07-19 19:39:00,"617 14th St, Boston, MA 02215",2019,7,19,29,Boston,11.989999771118164
5535,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 07:46:00,"227 4th St, New York City, NY 10001",2019,7,19,29,New York City,11.949999809265137
5555,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 19:57:00,"166 Main St, San Francisco, CA 94016",2019,7,19,29,San Francisco,2.990000009536743
5578,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 08:02:00,"482 Center St, San Francisco, CA 94016",2019,7,19,29,San Francisco,3.839999914169312
5595,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 10:41:00,"907 Main St, Boston, MA 02215",2019,7,19,29,Boston,99.98999786376952
5622,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 14:40:00,"401 Hickory St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
5623,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 23:48:00,"810 Chestnut St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,149.99000549316406
5656,AA Batteries (4-pack),1.0,3.839999914169312,2019-07-19 08:19:00,"48 Willow St, Portland, OR 97035",2019,7,19,29,Portland,3.839999914169312
5698,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 11:01:00,"425 Park St, New York City, NY 10001",2019,7,19,29,New York City,14.949999809265137
5724,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 12:57:00,"447 Forest St, New York City, NY 10001",2019,7,19,29,New York City,11.949999809265137
5751,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 12:15:00,"14 North St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
5803,iPhone,1.0,700.0,2019-07-19 09:32:00,"128 Highland St, Atlanta, GA 30301",2019,7,19,29,Atlanta,700.0
5805,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 14:00:00,"644 Lake St, San Francisco, CA 94016",2019,7,19,29,San Francisco,99.98999786376952
5847,Bose SoundSport Headphones,1.0,99.98999786376952,2019-07-19 13:44:00,"946 North St, Portland, ME 04101",2019,7,19,29,Portland,99.98999786376952
5884,AA Batteries (4-pack),3.0,3.839999914169312,2019-07-19 20:09:00,"721 Lakeview St, Atlanta, GA 30301",2019,7,19,29,Atlanta,11.519999742507936
5903,27in FHD Monitor,1.0,149.99000549316406,2019-07-19 11:59:00,"501 1st St, Boston, MA 02215",2019,7,19,29,Boston,149.99000549316406
5904,Wired Headphones,1.0,11.989999771118164,2019-07-19 18:13:00,"812 Wilson St, Seattle, WA 98101",2019,7,19,29,Seattle,11.989999771118164
5911,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 22:17:00,"839 2nd St, New York City, NY 10001",2019,7,19,29,New York City,14.949999809265137
5913,AA Batteries (4-pack),2.0,2.990000009536743,2019-07-19 19:14:00,"33 10th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,5.980000019073486
5922,Apple Airpods Headphones,1.0,150.0,2019-07-19 20:13:00,"558 Adams St, Boston, MA 02215",2019,7,19,29,Boston,150.0
5953,Flatscreen TV,1.0,300.0,2019-07-19 20:20:00,"105 Center St, San Francisco, CA 94016",2019,7,19,29,San Francisco,300.0
5964,Lightning Charging Cable,1.0,14.949999809265137,2019-07-19 06:10:00,"366 North St, New York City, NY 10001",2019,7,19,29,New York City,14.949999809265137
6009,Wired Headphones,1.0,11.989999771118164,2019-07-19 19:56:00,"255 9th St, New York City, NY 10001",2019,7,19,29,New York City,11.989999771118164
6042,AA Batteries (4-pack),2.0,2.990000009536743,2019-07-19 00:00:00,"629 8th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,5.980000019073486
6066,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 16:53:00,"810 Center St, New York City, NY 10001",2019,7,19,29,New York City,11.949999809265137
